paragraph #,sentence #,verb,object
1,1,call,
1,2,mind,having
1,2,mind,money
1,2,mind,purse
1,2,mind,nothing
1,2,interest,shore
1,2,think,
1,2,sail,
1,2,see,part
1,2,see,world
1,3,be,way
1,3,have,driving
1,3,have,spleen
1,3,have,regulating
1,3,have,circulation
1,4,find,
1,4,find,pausing
1,4,find,coffin warehouses
1,4,find,bringing
1,4,find,rear
1,4,find,funeral
1,4,find,growing
1,4,find,mouth
1,4,be,November
1,4,be,soul
1,4,meet,hypos
1,4,get,
1,4,get,sea
1,4,get,hand
1,4,require,principle
1,4,prevent,stepping
1,4,prevent,street
1,4,prevent,knocking
1,4,prevent,people
1,4,prevent,hats
1,4,account,time
1,5,be,substitute
1,5,be,pistol
1,5,be,ball
1,6,throw,sword
1,6,take,ship
1,7,be,nothing
1,8,know,men
1,8,know,degree
1,8,know,time
1,8,cherish,feelings
1,8,cherish,ocean
2,1,be,insular city
2,1,be,Manhattoes
2,1,be,wharves
2,1,be,isles
2,1,be,coral reefs
2,1,be,commerce
2,1,surround,surf
2,2,take,
2,3,be,
2,3,be,sight
2,3,be,land
2,3,be,
2,3,be,waves
2,3,be,breezes
2,3,be,hours
2,3,be,battery
2,3,be,mole
2,4,look,crowds
2,4,look,water-gazers
3,1,circumambulate,city
3,1,circumambulate,Sabbath afternoon
3,2,go,Corlears Hook
3,2,go,Coenties Slip
3,2,go,Whitehall
3,3,do,
3,3,see,sentinels
3,3,see,town
3,3,see,stand thousands
3,3,see,thousands
3,3,see,men
3,3,see,ocean reveries
3,4,get,peep
3,5,be,landsmen
3,5,be,week days
3,5,be,lath
3,5,be,plaster
3,5,be,counters
3,5,be,benches
3,5,clinch,desks
3,6,be,
3,7,are,fields
3,8,do,
4,2,come,pacing
4,2,come,water
4,2,come,dive
4,4,content,limit
4,4,content,land
4,4,content,loitering
4,4,content,lee
4,4,content,yonder warehouses
4,6,get,
4,6,nigh,water
4,6,nigh,falling
4,7,stand,miles
4,7,stand,leagues
4,8,come,lanes
4,8,come,alleys
4,8,come,streets
4,8,come,avenues
4,8,come,north
4,8,come,west
4,10,do,virtue
4,10,do,needles
4,10,do,compasses
4,10,do,ships
4,10,attract,
5,2,say,
5,2,be,country
5,2,be,land
5,2,be,lakes
5,3,take,path
5,3,please,
5,3,carry,dale
5,3,leave,pool
5,3,leave,stream
5,4,be,
5,5,let,men
5,5,be,
5,5,be,region
5,5,be,reveries
5,5,stand,man
5,5,stand,legs
5,5,set,feet
5,5,set,a-going
5,5,lead,water
5,5,lead,water
5,6,be,
5,6,be,professor
5,6,be,desert
5,6,try,experiment
5,6,try,caravan
5,6,happen,
5,7,know,meditation
5,7,know,water
5,7,be,
6,1,be,artist
6,2,desire,
6,2,paint,bit
6,2,paint,landscape
6,2,paint,valley
6,2,paint,Saco
6,3,be,element
6,4,stand,trees
6,4,stand,trunk
6,4,stand,hermit
6,4,stand,crucifix
6,4,be,
6,4,sleep,
6,4,sleep,cattle
6,4,sleep,yonder cottage
6,4,sleep,meadow
6,4,go,smoke
6,5,wind,way
6,5,wind,reaching
6,5,wind,overlapping
6,5,wind,spurs
6,5,wind,mountains
6,5,wind,blue
6,6,lie,pine-tree
6,6,shake,sighs
6,6,shake,leaves
6,6,shake,shepherd
6,6,shake,head
6,6,be,
6,6,be,stream
6,6,be,shepherd
6,6,be,eye
6,7,visit,Prairies
6,7,visit,June
6,7,visit,scores
6,7,visit,scores
6,7,visit,miles
6,7,wade,knee-deep
6,7,wade,Tiger-lilies
6,7,be,
6,7,be,drop
6,7,be,water
6,7,be,one charm
6,7,be,wanting
6,7,be,Water
6,8,were,Niagara
6,8,were,cataract
6,8,were,sand
6,8,travel,miles
6,8,see,
6,9,do,poet
6,9,do,Tennessee
6,9,do,receiving
6,9,do,handfuls
6,9,do,silver
6,9,deliberate,
6,9,buy,coat
6,9,need,
6,9,invest,money
6,9,invest,trip
6,9,invest,Rockaway Beach
6,10,be,boy
6,10,be,soul
6,10,be,time
6,10,go,sea
6,11,do,
6,11,feel,vibration
6,11,tell,ship
6,11,be,sight
6,11,be,land
6,12,do,Persians
6,12,hold,sea holy
6,13,do,Greeks
6,13,give,deity
6,13,give,brother
6,13,give,Jove
6,14,be,meaning
6,15,grasp,tormenting
6,15,grasp,image
6,15,saw,fountain
6,15,plunge,
6,15,be,
6,16,see,rivers
6,16,see,oceans
6,17,be,
6,17,be,key
6,17,be,image
6,17,be,phantom
6,17,be,life
7,1,say,
7,1,be,
7,1,be,lungs
7,1,be,habit
7,1,be,going
7,1,be,sea
7,1,begin,
7,1,begin,
7,1,grow,eyes
7,1,do,
7,1,mean,
7,1,have,
7,1,go,sea
7,1,go,passenger
7,2,go,passenger
7,2,have,
7,2,have,something
7,2,have,purse
7,2,have,purse
7,2,be,rag
7,3,get,sea-sick
7,3,grow,
7,3,do,
7,3,do,
7,3,do,
7,3,sleep,nights
7,3,enjoy,thing
7,3,go,
7,3,go,sea
7,3,go,Commodore
7,3,go,Captain
7,3,go,Cook
7,3,go,passenger
7,3,be,something
7,3,be,salt
7,4,abandon,glory
7,4,abandon,distinction
7,4,abandon,offices
7,4,like,
